train_loss,val_loss,train_acc,val_acc,epoch
0.6520783832645975,0.47728229403146544,0.7201171875,0.792578125,1
0.35702416504500434,0.43192960191736346,0.84091796875,0.831640625,2
0.2766008942504413,0.43038937200140026,0.8794921875,0.834375,3
0.22715492345159874,0.4748898205565638,0.8986328125,0.828515625,4
0.1950891340035014,0.5154808082402724,0.91640625,0.821484375,5
0.1783574710250832,0.4278445944289956,0.92041015625,0.859375,6
0.1593144456972368,0.4569467759506665,0.92783203125,0.846875,7
0.14527729687979446,0.48125811386313655,0.9333984375,0.855859375,8
0.14071627904195338,0.4196794768495721,0.93642578125,0.86171875,9
0.12726443354040384,0.5217341968810445,0.9443359375,0.8453125,10
0.1202073207939975,0.5249715804573849,0.94375,0.85390625,11
0.11633780028205365,0.41810487979798194,0.94580078125,0.864453125,12
0.1044366350513883,0.4762366075316887,0.95146484375,0.85546875,13
0.10288434613030403,0.4728603156408219,0.951171875,0.8609375,14
0.09957232070155442,0.48171823176863493,0.95419921875,0.8515625,15
0.09699766400735825,0.5273197389330265,0.95390625,0.851171875,16
0.09283406435279176,0.546860644792732,0.95712890625,0.85390625,17
0.08142698416486382,0.5036593676955036,0.961328125,0.866015625,18
0.08351321854861453,0.5790995359292153,0.96025390625,0.842578125,19
0.08434137187432497,0.5745674286384734,0.96044921875,0.8484375,20
0.07227269880240783,0.5617032121445313,0.9642578125,0.853515625,21
0.0763899514102377,0.5521947408236457,0.9625,0.8578125,22
0.07651654597138986,0.627274354080343,0.96298828125,0.848828125,23
0.07167475520400331,0.6011633889745663,0.96650390625,0.847265625,24
